datetime,symbol,market,open,high,low,close,volume
2000-01-03,SIM000000,bull,99.97779606493036,101.76683425956143,99.06151364444482,101.72134433205125,0.0
2000-01-04,SIM000000,bull,101.47073103868392,103.47027351085391,100.80653249589521,103.30479667014116,0.0
2000-01-05,SIM000000,bull,103.06578672985088,103.63353877892884,102.24926302952596,102.75115811380309,0.0
2000-01-06,SIM000000,bull,102.85582241994548,102.88044583391918,101.74213445190023,102.46123074144606,0.0
2000-01-07,SIM000000,bull,102.48017167768546,103.03950548045613,100.894358495766,101.8912308444948,0.0
2000-01-10,SIM000000,bull,101.75892516603581,102.84170416624515,100.80116857970138,102.6671904763249,0.0
2000-01-11,SIM000000,bull,102.78190265160693,103.55148614224493,102.48901103767707,102.67511943403262,0.0
2000-01-12,SIM000000,bull,102.51710704811468,103.80991508966456,102.37354781475698,103.67722326461208,0.0
2000-01-13,SIM000000,bull,103.7948183384555,104.00968740970482,101.18807367532976,101.48028598548721,0.0
2000-01-14,SIM000000,bull,101.62756846997372,103.76186706790067,101.48008321035687,103.48359918515418,0.0
2000-01-17,SIM000000,bull,103.40445250951068,104.04424472636694,102.6143848656416,103.4414706980673,0.0
2000-01-18,SIM000000,bull,103.32684544194423,105.21152554497421,102.46533125015527,104.367726413579,0.0
2000-01-19,SIM000000,bull,104.45584690820293,105.24261980573888,104.12828051860393,104.2750060058755,0.0
2000-01-20,SIM000000,bull,104.16079478276062,104.93287389084107,103.80359081958547,103.8795977857359,0.0
2000-01-21,SIM000000,bull,103.96913020424655,105.24951233998591,103.63253264255347,104.53687048440274,0.0
2000-01-24,SIM000000,bull,104.41192396307281,106.22960406501119,103.69469613135973,105.65552088986428,0.0
2000-01-25,SIM000000,bull,105.74084602330848,106.10313876451976,104.66571213764965,105.47813082391313,0.0
2000-01-26,SIM000000,bull,105.4880317336653,105.67776681451834,104.87850896185644,105.36391409997708,0.0
2000-01-27,SIM000000,bull,105.31831487627417,107.23245138221492,104.64527540120675,106.31417121274369,0.0
2000-01-28,SIM000000,bull,106.21894723804253,106.65358390597645,104.32246327158524,105.28853166481737,0.0
2000-01-31,SIM000000,bull,105.31354556349599,105.99830231707017,102.55925476435499,103.47001908832235,0.0
2000-02-01,SIM000000,bull,103.27418545646353,104.11064657108022,103.15261800139919,104.03960900500331,0.0
2000-02-02,SIM000000,bull,104.01089780042314,104.3862519825272,102.5465663165778,103.28321681196032,0.0
2000-02-03,SIM000000,bull,103.242300735009,103.34597217742723,100.22168802271221,101.00608933666312,0.0
2000-02-04,SIM000000,bull,101.0746078201318,101.4329509877272,99.19105602566557,100.09924677008914,0.0
2000-02-07,SIM000000,bull,99.97374029695109,100.70678405154608,99.19732446257746,99.61382805146374,0.0
2000-02-08,SIM000000,bull,99.78451018357862,100.12491750075698,98.11800216417576,98.27135306027895,0.0
2000-02-09,SIM000000,bull,98.24073359615024,98.91091944769674,96.14177211684792,96.5994448660668,0.0
2000-02-10,SIM000000,bull,96.48949851525127,96.83355568222404,96.13225497684685,96.71443315921931,0.0
2000-02-11,SIM000000,bull,96.8484869797916,98.21136701400125,96.46717525140141,97.83473127187555,0.0
2000-02-14,SIM000000,bull,97.99742368302768,98.39929110847925,96.85083920759695,97.63461130118935,0.0
2000-02-15,SIM000000,bull,97.61627825495864,98.11319089241422,96.20860843046586,96.83988089834435,0.0
2000-02-16,SIM000000,bull,96.75358951071321,97.58366667137209,96.09553013320073,97.36130260899043,0.0
2000-02-17,SIM000000,bull,97.36286554692853,98.96320736087719,96.72738364938435,98.27657106340855,0.0
2000-02-18,SIM000000,bull,98.2087197654864,99.0752242179365,97.85802813494958,97.99686911927759,0.0
